,Date,Time,Total Uphill,Total Altitude Difference,Highest Peak,Lowest Trough,Distance
0,2021-12-26,28.633333333333333,48.70000000000002,-1.1000000000000014,74.7,52.8,4.805360104486521
1,2024-01-03,22.616666666666667,35.39999999999998,-0.8999999999999915,98.6,86.7,4.034729081767538
2,2022-01-10,22.683333333333334,37.29999999999997,6.199999999999996,67.3,57.1,3.435840472637249
3,2022-09-11,30.083333333333332,69.99999999999994,2.6999999999999886,140.5,122.2,4.568807312695664
4,2022-09-05,42.21666666666667,67.70000000000002,-3.299999999999997,82.5,31.6,6.995223891001841
5,2022-05-02,20.816666666666666,66.39999999999995,23.799999999999997,145.7,101.1,3.499931839410088
6,2023-10-09,28.433333333333334,45.39999999999998,4.1000000000000085,112.1,84.1,4.995478719285269
7,2023-10-28,22.65,35.9,-2.5,26.4,2.5,4.1694629042684035
8,2022-04-24,12.083333333333334,20.30000000000001,1.7000000000000028,133.3,115.2,2.4976769557089646
9,2023-12-11,23.683333333333334,53.10000000000004,10.799999999999997,93.1,66.1,3.499211709763335
10,2021-04-12,1436.6666666666667,0.0,0.0,,,1905.5720924236216
11,2021-02-17,1433.3333333333333,0.0,0.0,,,79.97320699178142
12,2022-03-22,27.683333333333334,58.30000000000001,-2.700000000000003,44.6,16.4,4.7595698675844424
13,2022-01-21,30.183333333333334,18.6,-0.5,57.4,54.2,4.936581114026145
14,2022-10-18,16.283333333333335,0.0,0.0,,,3.002359526424617
15,2022-10-13,135.16666666666666,208.3000000000001,-6.0,176.4,89.7,21.779370522959155
16,2021-01-23,1420.0,0.0,0.0,,,80.85675205562818
17,2021-04-22,1433.3333333333333,0.0,0.0,,,1012.9995511962844
18,2022-05-17,32.1,50.10000000000002,2.9000000000000057,99.4,74.6,5.51585113771223
19,2021-12-27,8.016666666666667,25.600000000000023,5.300000000000011,117.2,96.1,1.5965997092732718
20,2022-09-25,91.6,342.2999999999994,-2.900000000000091,1161.1,953.1,14.724441543894168
21,2023-12-14,21.683333333333334,35.20000000000002,6.800000000000011,119.1,107.3,3.3882393893717957
22,2021-04-17,1436.6666666666667,0.0,0.0,,,2495.507658645181
